ClosestIndex	B_r
1826	11.3265033329448
1838	21.7211004100773
5580	29.3264493143808
10181	27.3630077681673
10226	38.6433518011579
36823	-7.99393718139291
36834	-8.26718680878958
40519	-11.2718800379276
46184	-17.9395551795001
46196	-24.275298653711
46207	-16.009892275731
47283	-9.83240810317739
47317	-14.0430965902395
47329	-15.2938798973627
47340	-22.529523865074
47352	-7.68250260371771
52536	-3.95239102762986
52547	10.1714510455927
57079	-12.2970534474545
57091	-12.0751306971433
57102	-12.2462718492668
57640	2.04522812928776
74406	-33.3996663808015
74417	-37.7014301903166
74429	-37.1024034087593
74452	-31.0660636174499
74463	-36.7449132149576
74475	-37.3214262318871
74486	-34.1942938336056
74497	-33.8412230836078
74509	-39.222753508626
74520	-43.3211669057758
74532	-45.2357241624753
74543	-35.9768823814274
74555	-37.3953706876174
74566	-35.5429378115377
74578	-35.3035510331041
74589	-38.816632854421
74600	-36.5891940928376
75722	-27.8277935587589
75733	-28.4691551635483
75745	-33.7953964133852
75859	-23.8486803932861
75871	-27.5388804153772
75882	-30.4508767871296
75894	-32.9859096045772
75905	-37.3841297216982
75917	-39.6865589630797
75928	-35.8519217080209
75951	-39.8097179264244
75962	-35.2945483225685
75985	-36.3785605717276
75997	-37.15743190147
76008	-30.2096960256168
76020	-30.3262261301926
76042	-31.4432195872072
76054	-38.6046946028136
76065	-31.6995869246795
76729	-20.2579046394578
76741	-32.3854726822284
76752	-31.294855120635
76775	-26.1937385403748
76786	-31.1191569275037
76798	-29.9883828811729
77679	-22.9381958955052
77690	-22.5211868661712
77702	-25.5272879402048
77713	-26.2774289979823
77725	-24.2582486993727
77736	-21.2071465511015
77748	-23.8223331498062
77759	-15.9226521120446
77770	-25.5638607677925
77782	-27.1982528884555
77816	-29.0500734467597
77862	-28.8430554797136
77874	-16.6934522646632
80460	-20.3538974579945
80849	-34.9391935903139
80860	-25.0876819050812
81032	-29.6321656920254
81044	-35.1504191785831
81055	-36.6874021462129
81067	-40.0039797842345
81078	-32.3618838188816
81089	-43.7806469183309
81101	-38.9207719429735
81112	-36.765689043861
81124	-37.6526992597726
81135	-33.4127016447527
81147	-34.3990605600941
81158	-37.2005460112281
81169	-30.8601554342083
81181	-29.7754785869377
81192	-32.3125931725504
81204	-34.9309221911192
81215	-35.1051591666167
81227	-35.2288380520939
81238	-29.0369630630325
81250	-33.0465943486435
81261	-27.5834633683274
81272	-23.0700058198249
81284	-27.3808550678177
81856	20.0382975858837
81879	21.6224813520163
81890	16.691199119455
81902	25.9440278946103
81913	15.4053527869757
81925	11.6676492697986
81936	16.1977936083961
81959	22.9920579039813
81993	23.0274901930852
82016	34.783743458697
82039	30.6486390940223
82051	13.3867940641347
82909	5.67962715182012
83184	1.94670125406122
83310	30.3332850336399
83321	28.5885065081114
83458	22.3120407408754
83470	8.7589776490001
83493	30.9336982725816
83504	27.8475691575683
83516	29.4981217977047
83527	31.3517059163021
83538	34.0920161145039
83561	21.0447989288232
83676	26.3890612807931
83802	28.688683562856
83813	20.6576636092839
83825	18.5048044932504
83836	19.9953855470083
83905	19.9991001505931
84134	-41.9122375898251
84145	-32.6116567768409
84797	-9.28326650629074
85095	32.8498082057252
85141	28.1284465528113
