ClosestIndex	B_r
6152	2.02971962992948
6164	4.46353440569156
6175	3.65868350312541
6301	0.451723353048256
6931	1.2217109307763
7239	1.09970555975109
7251	2.21360458948204
7308	1.25203254799218
7320	0.77043495865171
7331	1.60943582723576
24715	-0.229857464135097
51758	21.6006194059115
51769	21.2676110459338
55202	-20.4610390282274
55214	-21.3505086061335
77118	-5.07707150516633
77130	-4.687496867438
77141	-7.28803185184539
78114	3.78920842880126
85541	-15.906271995735
85553	-15.4831529065989
85564	-16.6567403919745
85575	-16.9084575085732
85598	-17.2940554072126
85610	-17.4226024004719
85621	-16.4839112275644
85633	-17.2803129802243
85644	-17.6794639450858
85656	-17.5266338300977
85667	-19.1004100615341
85678	-17.6294764159067
85690	-17.6716421694269
85701	-16.7077213339701
85713	-18.0867332175462
85736	-19.2644117880414
85759	-19.1689369942867
85976	-19.420847965571
86056	-19.3779436424632
86102	-19.3202368706065
86113	-19.1805628938962
86125	-20.2061896097055
86136	-20.7068342150359
90989	13.6304725431211
91000	12.174976285186
91012	10.8175499944375
92763	7.91338380324411
92774	10.9590259478962
94731	-1.48469059323278
96562	12.3858982833891
96573	-0.184578007068863
96585	-7.56094216510281
96596	-8.13841987345265
96619	-7.29728744224567
96631	-7.42487658860923
96642	-14.9417383471502
