ClosestIndex	B_r
2798	43.0700213539846
2844	32.7175713489498
2856	39.5994553106972
2867	44.5929727578423
2879	37.1858483451317
2890	38.4356487205105
2901	31.9134177465013
2913	29.9595448074644
2924	35.4560832967387
2936	31.5617399821571
2959	33.4240707201484
3005	35.0486182424057
3016	24.3604936514583
3027	35.7365641707238
3039	39.650967358731
3050	32.2706036290354
3062	37.3140587957804
3073	35.7364095598712
3142	40.8155495178883
3153	35.3835474250144
3165	40.1930843557435
3176	45.3711544691728
3188	50.6616098369507
3199	57.6636665961287
3210	58.521218821466
3348	36.3966820983125
12766	34.9148382948745
12778	51.6628106436434
12789	49.1184736797906
12801	67.9453850574248
24462	-7.57194328904709
24485	-26.0508105554752
28502	45.4036693841359
31432	-3.35261666291864
31443	14.4894334454243
31455	63.879493217097
31650	61.844553289955
31661	66.6154864421663
31684	69.447133638219
31695	43.8879955625998
35541	63.8384111051471
35552	70.302382378531
35563	82.0356127229661
36639	63.7146300574829
36651	33.9342411044742
71567	-35.0447097067207
71624	-14.2071584655923
82851	4.35997398480321
83458	-2.21500885921439
83469	-14.8444060842424
105328	-7.68016592490438
105339	61.0869887276975
105351	56.9904667530346
