ClosestIndex	B_r
16956	-12.8771461418817
16967	14.1642674536782
16979	20.9918339267134
16990	30.3009668632772
17001	7.06371739229799
17013	13.1346786665236
59597	26.562236651391
59792	21.7059921269906
59803	23.5241620871192
81158	43.3073455579314
81169	45.5946446719436
81181	36.0556820316817
81192	32.2435168142548
81318	26.0379729389969
81387	24.2855344818178
81398	37.8041296515345
81410	28.8252727700877
81421	31.8012911127452
81433	29.0864677453642
82817	35.7271159349713
82829	31.2182972081891
82840	35.6249882959166
94937	42.1011038296941
94948	40.9436903706905
94960	43.9241574896986
94971	34.4781578573231
94983	31.7689262893121
94994	33.2981592211501
95006	30.0760183397413
